,image_id,gt_class,pre_class,ap,score
0,0,2,2,1.0,0.9998443126678467
1,1,2,2,1.0,0.9998120665550232
2,2,3,3,1.0,0.9789305925369263
3,3,2,2,1.0,0.960176408290863
4,4,0,0,0.0,0.0
5,5,2,2,1.0,0.9999773502349854
6,6,3,3,1.0,0.9996707439422607
7,7,0,2,0.0,0.8146818280220032
8,8,1,1,1.0,0.9996637105941772
9,9,1,1,1.0,0.9997782111167908
10,10,2,2,1.0,0.999985933303833
11,11,1,1,1.0,0.9934632778167725
12,12,2,2,1.0,0.9997245669364929
13,13,1,1,1.0,0.9997175335884094
14,14,3,3,1.0,0.8260546922683716
15,15,1,1,1.0,0.999998927116394
16,16,1,1,1.0,0.9999967813491821
17,17,0,0,0.0,0.0
18,18,1,1,1.0,0.9995399713516235
19,19,3,3,1.0,0.9937408566474915
20,20,3,0,0.0,0.0
21,21,2,2,1.0,0.9294499158859253
22,22,0,0,0.0,0.0
23,23,0,0,0.0,0.0
24,24,0,0,0.0,0.0
25,25,3,3,1.0,0.9997707009315491
26,26,2,2,1.0,0.9999874830245972
27,27,0,0,0.0,0.0
28,28,3,3,1.0,0.9720048308372498
29,29,3,3,1.0,0.9813593626022339
30,30,2,2,1.0,0.9998942613601685
31,31,2,2,1.0,0.9999737739562988
32,32,2,2,1.0,0.9999988079071045
33,33,3,3,1.0,0.9993371367454529
34,34,2,2,1.0,0.997593104839325
35,35,0,0,0.0,0.0
36,36,1,1,1.0,0.9951202273368835
37,37,0,0,0.0,0.0
38,38,0,0,0.0,0.0
39,39,3,3,0.0,0.9533300995826721
40,40,2,2,1.0,0.9999169111251831
41,41,2,2,1.0,0.9998264908790588
42,42,1,1,1.0,0.9917660355567932
43,43,2,2,1.0,0.9987830519676208
44,44,0,0,0.0,0.0
45,45,2,2,1.0,0.9992735981941223
46,46,0,0,0.0,0.0
47,47,0,0,0.0,0.0
48,48,0,0,0.0,0.0
49,49,3,3,0.0,0.993294894695282
50,50,0,1,0.0,0.9893057942390442
51,51,0,3,0.0,0.9188967943191528
52,52,0,0,0.0,0.0
53,53,3,3,1.0,0.999329686164856
54,54,0,0,0.0,0.0
55,55,2,2,1.0,0.999977707862854
56,56,3,3,1.0,0.9996333122253418
57,57,3,3,1.0,0.9936834573745728
58,58,2,2,1.0,0.9999537467956543
59,59,0,0,0.0,0.0
60,60,3,3,1.0,0.9998530149459839
61,61,3,3,1.0,0.9963221549987793
62,62,1,1,1.0,0.9999775886535645
63,63,2,2,1.0,0.9993546605110168
64,64,1,1,1.0,0.9902530908584595
65,65,0,0,0.0,0.0
66,66,0,1,0.0,0.9898825287818909
67,67,0,2,0.0,0.9521547555923462
68,68,3,3,1.0,0.9999922513961792
69,69,2,2,1.0,0.999984622001648
70,70,0,0,0.0,0.0
71,71,3,3,1.0,0.9999643564224243
72,72,0,0,0.0,0.0
73,73,1,1,1.0,0.9996122717857361
74,74,2,2,1.0,0.9999959468841553
75,75,1,1,1.0,0.999972939491272
76,76,0,0,0.0,0.0
77,77,2,2,1.0,0.9998077750205994
78,78,1,1,1.0,0.9650989174842834
79,79,2,2,1.0,0.9999831914901733
80,80,3,3,1.0,0.9990578293800354
81,81,2,2,1.0,0.9753702878952026
82,82,0,0,0.0,0.0
83,83,2,2,1.0,0.999916672706604
84,84,2,2,1.0,0.9997357726097107
85,85,3,3,1.0,0.9990690350532532
86,86,0,0,0.0,0.0
87,87,0,0,0.0,0.0
88,88,2,2,1.0,0.999872088432312
89,89,3,3,1.0,0.9997065663337708
90,90,3,3,1.0,0.9922009706497192
91,91,0,0,0.0,0.0
92,92,1,1,1.0,0.9998806715011597
93,93,1,1,1.0,0.9999512434005737
94,94,1,1,1.0,0.9711413383483887
95,95,2,2,1.0,0.9999761581420898
96,96,3,3,1.0,0.9996424913406372
97,97,1,1,1.0,0.9999791383743286
98,98,0,3,0.0,0.8987870812416077
99,99,0,0,0.0,0.0
100,100,3,3,1.0,0.9987363219261169
101,101,0,0,0.0,0.0
102,102,0,0,0.0,0.0
103,103,2,2,1.0,0.999881386756897
104,104,3,3,1.0,0.9987119436264038
105,105,3,3,1.0,0.9992534518241882
106,106,1,1,1.0,0.9999985694885254
107,107,3,3,1.0,0.9979525804519653
108,108,2,2,1.0,0.9999052286148071
109,109,3,3,1.0,0.9994496703147888
110,110,2,2,1.0,0.9904282093048096
111,111,3,3,1.0,0.995240330696106
112,112,2,2,1.0,0.999954104423523
113,113,3,3,2.0,0.9922175407409668
114,114,1,1,1.0,0.8605058789253235
115,115,2,2,1.0,0.9998973608016968
116,116,3,3,1.0,0.9982935786247253
117,117,1,1,1.0,0.9989107847213745
