,image_id,gt_class,pre_class,ap,score
0,0,2,2,1.0,0.9994916915893555
1,1,2,4,0.5,0.9755386710166931
2,2,3,4,0.0,0.9750583171844482
3,3,2,4,0.3333333333333333,0.9771815538406372
4,4,4,4,1.0,0.9754348397254944
5,5,2,2,1.0,0.9930062294006348
6,6,3,4,0.5,0.966978132724762
7,7,4,4,1.0,0.9727448225021362
8,8,1,1,1.0,0.9940353631973267
9,9,1,4,0.5,0.9691035747528076
10,10,2,2,1.0,0.9998964071273804
11,11,1,1,0.0,0.9709106683731079
12,12,2,2,1.0,0.9983165264129639
13,13,1,1,1.0,0.9980610013008118
14,14,3,4,0.0,0.9706472158432007
15,15,1,1,1.0,0.9750211238861084
16,16,1,1,1.0,0.9982888102531433
17,17,4,4,1.0,0.9724598526954651
18,18,1,1,1.0,0.9979676604270935
19,19,3,4,0.5,0.9709547162055969
20,20,3,4,0.0,0.9800935387611389
21,21,2,4,0.5,0.9710052013397217
22,22,4,4,1.0,0.9729079604148865
23,23,4,4,1.0,0.9729570746421814
24,24,4,4,1.0,0.9739720821380615
25,25,3,3,1.0,0.9903766512870789
26,26,2,2,1.0,0.9992222785949707
27,27,4,4,1.0,0.9690812826156616
28,28,3,4,0.0,0.9701175093650818
29,29,3,4,0.3333333333333333,0.9695948362350464
30,30,2,2,1.0,0.9890722036361694
31,31,2,2,1.0,0.9981157779693604
32,32,2,2,1.0,0.9997233748435974
33,33,3,3,1.0,0.977403998374939
34,34,2,4,0.5,0.9728513360023499
35,35,4,4,1.0,0.97646164894104
36,36,1,4,0.5,0.9726607799530029
37,37,4,4,1.0,0.9710589051246643
38,38,4,4,1.0,0.9754877090454102
39,39,3,4,0.0,0.9761591553688049
40,40,2,2,1.0,0.9891757369041443
41,41,2,4,0.5,0.9735963940620422
42,42,1,4,0.3333333333333333,0.9695740342140198
43,43,2,4,0.0,0.9760368466377258
44,44,4,4,1.0,0.970425546169281
45,45,2,4,0.5,0.9763537645339966
46,46,4,4,1.0,0.9706284403800964
47,47,4,4,1.0,0.9696245789527893
48,48,4,4,1.0,0.9707393050193787
49,49,3,4,0.0,0.975913405418396
50,50,4,4,1.0,0.97115558385849
51,51,4,4,1.0,0.9696208834648132
52,52,4,4,1.0,0.9745849967002869
53,53,3,3,1.0,0.9829667806625366
54,54,4,4,1.0,0.9697507619857788
55,55,2,2,1.0,0.9982169270515442
56,56,3,3,1.0,0.9867245554924011
57,57,3,4,0.5,0.9738595485687256
58,58,2,2,1.0,0.9942948222160339
59,59,4,4,1.0,0.9762824177742004
60,60,3,4,0.5,0.9722537398338318
61,61,3,1,0.0,0.9768633842468262
62,62,1,1,1.0,0.9988993406295776
63,63,2,4,0.5,0.9685777425765991
64,64,1,4,0.0,0.9727440476417542
65,65,4,4,1.0,0.9710587859153748
66,66,4,4,1.0,0.9719987511634827
67,67,4,4,1.0,0.9762969613075256
68,68,3,3,1.0,0.9944197535514832
69,69,2,2,1.0,0.9985339641571045
70,70,4,4,1.0,0.9706549644470215
71,71,3,3,1.0,0.9914461374282837
